a_single_date;year;month;day;week_of_year;quarter
2023/05/11;2023;5;11;5;2
2023/05/12;2023;5;12;6;2
2023/05/13;2023;5;13;7;2
2023/05/14;2023;5;14;1;2
2023/05/15;2023;5;15;2;2
2023/05/16;2023;5;16;3;2
2023/05/17;2023;5;17;4;2
2023/05/18;2023;5;18;5;2
2023/05/19;2023;5;19;6;2
2023/05/20;2023;5;20;7;2
2023/05/21;2023;5;21;1;2
2023/05/22;2023;5;22;2;2
2023/05/23;2023;5;23;3;2
2023/05/24;2023;5;24;4;2
2023/05/25;2023;5;25;5;2
2023/05/26;2023;5;26;6;2
2023/05/27;2023;5;27;7;2
2023/05/28;2023;5;28;1;2
2023/05/29;2023;5;29;2;2
2023/05/30;2023;5;30;3;2
2023/05/31;2023;5;31;4;2
2023/06/01;2023;6;1;5;2
2023/06/02;2023;6;2;6;2
2023/06/03;2023;6;3;7;2
2023/06/04;2023;6;4;1;2
2023/06/05;2023;6;5;2;2
2023/06/06;2023;6;6;3;2
2023/06/07;2023;6;7;4;2
2023/06/08;2023;6;8;5;2
2023/06/09;2023;6;9;6;2
2023/06/10;2023;6;10;7;2
2023/06/11;2023;6;11;1;2
2023/06/12;2023;6;12;2;2
2023/06/13;2023;6;13;3;2
2023/06/14;2023;6;14;4;2
2023/06/15;2023;6;15;5;2
2023/06/16;2023;6;16;6;2
2023/06/17;2023;6;17;7;2
2023/06/18;2023;6;18;1;2
2023/06/19;2023;6;19;2;2
2023/06/20;2023;6;20;3;2
2023/06/21;2023;6;21;4;2
2023/06/22;2023;6;22;5;2
2023/06/23;2023;6;23;6;2
2023/06/24;2023;6;24;7;2
2023/06/25;2023;6;25;1;2
2023/06/26;2023;6;26;2;2
2023/06/27;2023;6;27;3;2
2023/06/28;2023;6;28;4;2
2023/06/29;2023;6;29;5;2
2023/06/30;2023;6;30;6;2
2023/07/01;2023;7;1;7;3
2023/07/02;2023;7;2;1;3
2023/07/03;2023;7;3;2;3
2023/07/04;2023;7;4;3;3
2023/07/05;2023;7;5;4;3
2023/07/06;2023;7;6;5;3
2023/07/07;2023;7;7;6;3
2023/07/08;2023;7;8;7;3
2023/07/09;2023;7;9;1;3
2023/07/10;2023;7;10;2;3
2023/07/11;2023;7;11;3;3
2023/07/12;2023;7;12;4;3
2023/07/13;2023;7;13;5;3
2023/07/14;2023;7;14;6;3
2023/07/15;2023;7;15;7;3
2023/07/16;2023;7;16;1;3
2023/07/17;2023;7;17;2;3
2023/07/18;2023;7;18;3;3
2023/07/19;2023;7;19;4;3
2023/07/20;2023;7;20;5;3
2023/07/21;2023;7;21;6;3
2023/07/22;2023;7;22;7;3
2023/07/23;2023;7;23;1;3
2023/07/24;2023;7;24;2;3
2023/07/25;2023;7;25;3;3
2023/07/26;2023;7;26;4;3
2023/07/27;2023;7;27;5;3
2023/07/28;2023;7;28;6;3
2023/07/29;2023;7;29;7;3
2023/07/30;2023;7;30;1;3
2023/07/31;2023;7;31;2;3
2023/08/01;2023;8;1;3;3
2023/08/02;2023;8;2;4;3
2023/08/03;2023;8;3;5;3
2023/08/04;2023;8;4;6;3
2023/08/05;2023;8;5;7;3
2023/08/06;2023;8;6;1;3
2023/08/07;2023;8;7;2;3
2023/08/08;2023;8;8;3;3
2023/08/09;2023;8;9;4;3
2023/08/10;2023;8;10;5;3
2023/08/11;2023;8;11;6;3
2023/08/12;2023;8;12;7;3
2023/08/13;2023;8;13;1;3
2023/08/14;2023;8;14;2;3
2023/08/15;2023;8;15;3;3
2023/08/16;2023;8;16;4;3
2023/08/17;2023;8;17;5;3
2023/08/18;2023;8;18;6;3
2023/08/19;2023;8;19;7;3
2023/08/20;2023;8;20;1;3
2023/08/21;2023;8;21;2;3
2023/08/22;2023;8;22;3;3
2023/08/23;2023;8;23;4;3
2023/08/24;2023;8;24;5;3
2023/08/25;2023;8;25;6;3
2023/08/26;2023;8;26;7;3
2023/08/27;2023;8;27;1;3
2023/08/28;2023;8;28;2;3
2023/08/29;2023;8;29;3;3
2023/08/30;2023;8;30;4;3
2023/08/31;2023;8;31;5;3
2023/09/01;2023;9;1;6;3
2023/09/02;2023;9;2;7;3
2023/09/03;2023;9;3;1;3
2023/09/04;2023;9;4;2;3
2023/09/05;2023;9;5;3;3
2023/09/06;2023;9;6;4;3
2023/09/07;2023;9;7;5;3
2023/09/08;2023;9;8;6;3
2023/09/09;2023;9;9;7;3
2023/09/10;2023;9;10;1;3
2023/09/11;2023;9;11;2;3
2023/09/12;2023;9;12;3;3
2023/09/13;2023;9;13;4;3
2023/09/14;2023;9;14;5;3
2023/09/15;2023;9;15;6;3
2023/09/16;2023;9;16;7;3
2023/09/17;2023;9;17;1;3
2023/09/18;2023;9;18;2;3
2023/09/19;2023;9;19;3;3
2023/09/20;2023;9;20;4;3
2023/09/21;2023;9;21;5;3
2023/09/22;2023;9;22;6;3
2023/09/23;2023;9;23;7;3
2023/09/24;2023;9;24;1;3
2023/09/25;2023;9;25;2;3
2023/09/26;2023;9;26;3;3
2023/09/27;2023;9;27;4;3
2023/09/28;2023;9;28;5;3
2023/09/29;2023;9;29;6;3
2023/09/30;2023;9;30;7;3
2023/10/01;2023;10;1;1;4
2023/10/02;2023;10;2;2;4
2023/10/03;2023;10;3;3;4
2023/10/04;2023;10;4;4;4
2023/10/05;2023;10;5;5;4
2023/10/06;2023;10;6;6;4
2023/10/07;2023;10;7;7;4
2023/10/08;2023;10;8;1;4
2023/10/09;2023;10;9;2;4
2023/10/10;2023;10;10;3;4
2023/10/11;2023;10;11;4;4
2023/10/12;2023;10;12;5;4
2023/10/13;2023;10;13;6;4
2023/10/14;2023;10;14;7;4
2023/10/15;2023;10;15;1;4
2023/10/16;2023;10;16;2;4
2023/10/17;2023;10;17;3;4
2023/10/18;2023;10;18;4;4
2023/10/19;2023;10;19;5;4
2023/10/20;2023;10;20;6;4
2023/10/21;2023;10;21;7;4
2023/10/22;2023;10;22;1;4
2023/10/23;2023;10;23;2;4
2023/10/24;2023;10;24;3;4
2023/10/25;2023;10;25;4;4
2023/10/26;2023;10;26;5;4
2023/10/27;2023;10;27;6;4
2023/10/28;2023;10;28;7;4
2023/10/29;2023;10;29;1;4
2023/10/30;2023;10;30;2;4
2023/10/31;2023;10;31;3;4
2023/11/01;2023;11;1;4;4
2023/11/02;2023;11;2;5;4
2023/11/03;2023;11;3;6;4
2023/11/04;2023;11;4;7;4
2023/11/05;2023;11;5;1;4
2023/11/06;2023;11;6;2;4
2023/11/07;2023;11;7;3;4
2023/11/08;2023;11;8;4;4
2023/11/09;2023;11;9;5;4
2023/11/10;2023;11;10;6;4
2023/11/11;2023;11;11;7;4
2023/11/12;2023;11;12;1;4
2023/11/13;2023;11;13;2;4
2023/11/14;2023;11;14;3;4
2023/11/15;2023;11;15;4;4
2023/11/16;2023;11;16;5;4
2023/11/17;2023;11;17;6;4
2023/11/18;2023;11;18;7;4
2023/11/19;2023;11;19;1;4
2023/11/20;2023;11;20;2;4
2023/11/21;2023;11;21;3;4
2023/11/22;2023;11;22;4;4
2023/11/23;2023;11;23;5;4
2023/11/24;2023;11;24;6;4
2023/11/25;2023;11;25;7;4
2023/11/26;2023;11;26;1;4
2023/11/27;2023;11;27;2;4
2023/11/28;2023;11;28;3;4
2023/11/29;2023;11;29;4;4
2023/11/30;2023;11;30;5;4
2023/12/01;2023;12;1;6;4
2023/12/02;2023;12;2;7;4
2023/12/03;2023;12;3;1;4
2023/12/04;2023;12;4;2;4
2023/12/05;2023;12;5;3;4
2023/12/06;2023;12;6;4;4
2023/12/07;2023;12;7;5;4
2023/12/08;2023;12;8;6;4
2023/12/09;2023;12;9;7;4
2023/12/10;2023;12;10;1;4
2023/12/11;2023;12;11;2;4
2023/12/12;2023;12;12;3;4
2023/12/13;2023;12;13;4;4
2023/12/14;2023;12;14;5;4
2023/12/15;2023;12;15;6;4
2023/12/16;2023;12;16;7;4
2023/12/17;2023;12;17;1;4
2023/12/18;2023;12;18;2;4
2023/12/19;2023;12;19;3;4
2023/12/20;2023;12;20;4;4
2023/12/21;2023;12;21;5;4
2023/12/22;2023;12;22;6;4
2023/12/23;2023;12;23;7;4
2023/12/24;2023;12;24;1;4
2023/12/25;2023;12;25;2;4
2023/12/26;2023;12;26;3;4
2023/12/27;2023;12;27;4;4
2023/12/28;2023;12;28;5;4
2023/12/29;2023;12;29;6;4
2023/12/30;2023;12;30;7;4
2023/12/31;2023;12;31;1;4
